,Unnamed: 0,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries,disaster
278,36491,2008-12-31-017141,"if earlier the chances that the sides would not sign a contract for gas deliveries to ukraine by new year and the russian side would have to suspend deliveries were 50/50, now the letter increases the chances of a critical scenario to 70/30,",oleh dubyna,Q2031228,2008-12-31 13:06:35,1,['http://kyivpost.com/nation/32552'],A,0.5755,['UP'],1
13371,172578,2016-08-05-018433,"Even though the situation is very difficult, we can have a good result also,",Yonas Kinde,Q24572831,2016-08-05 20:25:32,1,['http://runningmagazine.ca/first-refugee-team-racing-in-olympics/'],E,0.9021,['CA'],1
12598,9748,2016-05-29-061078,"To me it's very hard today, because very windy, and the green is very, very firm,",Ariya Jutanugarn,Q11958704,2016-05-29 00:00:00,14,"['http://asia.eurosport.com/golf/jutanugarn-within-sight-of-third-straight-lpga-victory_sto5625857/story.shtml'
 'http://au.eurosport.com/golf/jutanugarn-within-sight-of-third-straight-lpga-victory_sto5625857/story.shtml'
 'http://investing.com/news/general-news/jutanugarn-within-sight-of-third-straight-lpga-victory-405168'
 'http://ca.sports.yahoo.com/news/golf-jutanugarn-within-sight-third-straight-lpga-victory-005837481--golf.html'
 'http://us.rd.yahoo.com/sports/rss//SIG=13eg8ou9t/*http://sports.yahoo.com/news/golf-jutanugarn-within-sight-third-straight-lpga-victory-005837481--golf.html'
 'http://ca.rd.yahoo.com/sports/rss//SIG=13dvhrfl5/*https://ca.sports.yahoo.com/news/jutanugarn-within-sight-third-straight-lpga-victory-011449595--golf.html'
 'http://ca.rd.yahoo.com/sports/rss/golf/SIG=13dvhrfl5/*https://ca.sports.yahoo.com/news/jutanugarn-within-sight-third-straight-lpga-victory-011449595--golf.html'
 'http://ca.sports.yahoo.com/news/jutanugarn-within-sight-third-straight-lpga-victory-011449595--golf.html'
 'http://feeds.reuters.com/~r/reuters/sportsNews/~3/BVs99wI9maI/us-golf-lpga-idUSKCN0YK00J'
 'http://news.yahoo.com/jutanugarn-within-sight-third-straight-lpga-victory-011449595--golf.html'
 'http://us.rd.yahoo.com/sports/rss//SIG=1391p9fl6/*http://sports.yahoo.com/news/jutanugarn-within-sight-third-straight-lpga-victory-011449595--golf.html'
 'http://ca.sports.yahoo.com/news/jutanugarn-within-sight-third-straight-lpga-victory-032056346--golf.html'
 'http://supersport.com/golf/womens-golf/news/160529/Jutanugarn_within_sight_of_third_straight_LPGA_victory'
 'http://www.sportskeeda.com/golf/jutanugarn-within-sight-of-third-straight-lpga-victory/']",E,0.6337,['US' 'CA'],1
16234,27855,2018-04-18-176887,"will not only honour and remember all victims and survivors of the Holocaust and subsequent genocides, but educate future generations on the importance of fighting prejudice and persecution in all its forms.",Sajid Javid,Q727798,2018-04-18 00:00:00,1,['http://jewishnews.timesofisrael.com/sir-eric-pickles-and-ed-balls-are-new-co-chairs-of-holocaust-foundation-advisory-board/#comments'],E,0.6351,['IS'],1
18964,153481,2019-02-15-026513,"He left for Nagpur on February 11 for his new posting with the 115th Battalion in Srinagar. When I called him on Thursday around 9.30 a.m., he informed me that he had left Jammu at 3.30 a.m. to join his new assignment. Later around midnight, we were informed of his demise,",None,,2019-02-15 00:00:00,4,"['http://www.canindia.com/maharashtra-mourns-two-troopers-killed-in-pulwama-attack/'
 'http://www.prokerala.com/news/articles/a893358.html'
 'https://timesofindia.indiatimes.com/india/pulwama-attack-grieving-kin-of-martyred-crpf-personnel-urge-to-government-to-act/articleshow/68016121.cms'
 'https://www.newkerala.com/news/read/102293/maharashtra-mourns-two-troopers-killed-in-pulwama-attack.html']",E,0.8538,['IN'],1
17994,54642,2018-06-04-079653,"The driver of the go-kart was ejected as a result of the collision,",Michael Baker,Multiple,2018-06-04 21:34:22,1,['http://wncn.com/news/local-news/johnston-county-news/go-kart-driver-in-hospital-as-driver-sought-in-hit-and-run-in-johnston-county/1218292407'],E,0.893,['US'],1
11099,7372,2015-11-26-087610,We were steamrollered by a very good German team; but we have now gone over 200 minutes without conceding a goal against them and that's come from an incredible work ethic -- the girls ran themselves into the ground tonight and deserved that result.,Mark Sampson,Q15631605,2015-11-26 20:50:02,1,['http://feeds.theguardian.com/c/34708/f/663845/s/4bd1030f/sc/13/l/0L0Stheguardian0N0Cfootball0C20A150Cnov0C260Cgermany0Eengland0Efriendly0Ematch0Ereport/story01.htm'],E,0.5707,['UK'],1
1715,78877,2009-03-04-071774,"the united states must side with the women and children that have been victimized by china's one-child policy,",roger wicker,Q390491,2009-03-04 20:27:07,3,"['http://jacksonfreepress.com/index.php/site/comments/wicker_seeks_to_deny_funding_for_un_agency_030409/#When:16:50:00Z'
 'http://senatus.wordpress.com/2009/03/05/senate-defeats-wicker-coercive-abortions-omnibus-amendment/'
 'http://lifesitenews.com/ldn/2009/mar/09030510.html']",A,0.5652,['US'],1
5498,171025,2012-08-23-059495,sharp increase in extrajudicial and summary executions of civilians not involved in the conflict,kofi annan,Q1254,2012-08-23 08:47:35,1,['http://gulfnews.com/indiscriminate-attacks-increase-in-syria-1.1064975?localLinksEnabled=false&utm_source=Feeds&utm_medium=RSS&utm_term=%3C%21%5BCDATA%5BMost_viewed_RSS_%5D%5D%3E&utm_content=1.1064975&utm_campaign=%3C%21%5BCDATA%5BIndiscriminate_attacks_increase_in_Syria%5D%5D%3E'],C,0.6188,['AE'],1
16628,56267,2018-01-24-069226,"It was the one-year anniversary of one of the greatest protests in American history, and it was a promise to keep the fight going,",Bill de Blasio,Q4911497,2018-01-24 16:14:00,1,['http://sheknows.com/living/articles/1137957/frame-womens-march-sign'],E,0.9294,['US'],1
