,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
106376,2008-09-15-013852,"heritage's activity in tanzania has already commenced with the acquisition of seismic, which will be followed by a drilling programme next year,",None,,2008-09-15 07:14:36,1,['http://cityam.com/index.php?news=20845'],A,0.5053,['UK']
40856,2008-09-15-056129,"we are very pleased to have received government approval and completed the farm-in agreements in tanzania. these prospective licences form part of the company's strategy of exploring new regions with considerable hydrocarbon potential. heritage's activity in tanzania has already commenced with the acquisition of seismic, which will be followed by a drilling programme next year.",tony buckingham,Q2442477,2008-09-15 07:57:09,1,['http://oilvoice.com/n/Heritage_Oil_Obtains_Approval_For_Farmin_Into_Four_exploration_Licences_in_Tanzania/1e751654.aspx'],A,0.5395,['US']
152163,2010-08-09-071395,"these blocks effectively cover from north to south most of the kenyan deepwater acreage, where we have identified on seismic data geological features that are similar to what we see in our existing interests in mozambique and tanzania,",john craven,Multiple,2010-08-09 15:05:44,2,"['http://uk.reuters.com/article/idUKLDE6781AT20100809?feedType=RSS&feedName=rbssEnergyNews'
 'http://af.reuters.com/article/investingNews/idAFJOE67808V20100809?feedType=RSS&feedName=investingNews']",C,0.5533,['US']
136235,2010-01-27-065802,"not now. there's no toppled buildings, unless you want to count the projects. but pre-earthquake haiti... when i went to africa, when i was in tanzania, it was weird because there was this extreme poverty and extreme corruption and it looked so much like the west side of chicago. in [ the documentary i shot over there ] you'll see me say that. there's no grass, there's a barbershop, there's a sneaker store, there's a liquor store and a bunch of coca-cola everywhere.",lupe fiasco,Q310116,2010-01-27 22:16:58,2,"['http://mtv.com/news/articles/1630638/20100127/fiasco__lupe.jhtml'
 'http://chicagonow.com/blogs/gowhere-hip-hop/2010/01/lupe-fiasco-responds-to-bill-oreillys-controversial-comparison-of-chicago-to-haiti.html']",A,0.6829,['US']
154873,2010-08-09-071394,"these blocks effectively cover from north to south most of the kenyan deepwater acreage, where we have identified on seismic data geological features that are similar to what we see in our existing interests in and tanzania,",john craven,Multiple,2010-08-09 16:17:37,1,['http://ibtimes.com/articles/41960/20100809/cove-energy-says-has-farm-in-deal-for-kenyan-blocks.htm'],C,0.5872,['US']
36659,2011-11-22-072547,"the thing is, though, that tv just fell into my lap [ she was filmed while working as a researcher at jane goodall's chimp sanctuary in tanzania ]. i just stumbled into television, really, and while i'm well aware you can't just step straight back in, i still love communicating about natural history, and hope i can earn a crust from doing that on tv.",david attenborough,Q183337,2011-11-22 13:12:23,1,['http://radiotimes.com/news/2011-11-22/charlotte-uhlenbroek-why-i-still-love-the-apes'],C,0.6086,['UK']
173328,2011-04-16-001786,"and in other news, a 6.5 earthquake occurred in tanzania today, when michael ignatieff was asked for his thoughts he said that steven harper had the nerve to kick a university student out of one of his rallies two weeks ago. when asked what that had to do with the earthquake, ignatieff said that harper was only interested in jets prisons and tax cuts for his corporate buddies",stephen harper,Multiple,2011-04-16 14:04:14,7,"['http://calgary.ctv.ca/servlet/an/local/CTVNews/20110416/election-campaign-110416/20110416?hub=CalgaryHome'
 'http://edmonton.ctv.ca/servlet/an/local/CTVNews/20110416/election-campaign-110416/20110416?hub=EdmontonHome'
 'http://winnipeg.ctv.ca/servlet/an/local/CTVNews/20110416/election-campaign-110416/20110416?hub=WinnipegHome'
 'http://montreal.ctv.ca/servlet/an/local/CTVNews/20110416/election-campaign-110416/20110416?hub=MontrealHome'
 'http://ottawa.ctv.ca/servlet/an/local/CTVNews/20110416/election-campaign-110416/20110416?hub=OttawaHome'
 'http://ctvbc.ctv.ca/servlet/an/local/CTVNews/20110416/election-campaign-110416/20110416?hub=BritishColumbiaHome'
 'http://ctv.ca/CTVNews/QPeriod/20110416/election-campaign-110416/']",C,0.365,['CA']
3650,2012-05-15-055948,"ophir continues to develop at pace. over the past six months we have become the largest net acreage holder in the offshore east african play, acquired five seismic programmes in tanzania and gabon, and completed jodari-1 as the largest discovery in the company's history,",None,,2012-05-15 06:59:14,1,['http://lse.co.uk/sharecast-news-article.asp?ArticleCode=20097635&ArticleHeadline=ophir_continues_to_develop_at_pace'],C,0.5289,['UK']
138075,2012-05-15-055949,"ophir continues to develop at pace. over the past six months we have become the largest net acreage holder in the offshore east african play, acquired five seismic programmes in tanzania and gabon, and completed jodari-1 as the largest discovery in the company's history. the recent $241mm equity raise strengthens ophir's balance sheet to support this momentum, and a further five well results are expected by the end of the summer",nick cooper,Q8976553,2012-05-15 07:25:00,1,['http://oilvoice.com/n/Ophir_Energy_Interim_Management_Statement/b8303eb21611.aspx'],C,0.618,['US']
86039,2012-09-03-034380,"ophir's preliminary assessment of the new 3d in the eastern portion of block 1 has identified basin floor stratigraphy and trapping geometries that could support the trapping of hydrocarbons. the preliminary dataset is of high quality and we are excited by the apparent prospectivity in the tertiary basin floor fan play. it is early days in the interpretation but there appear to be similarities to the equivalent section of the rovuma delta in mozambique. separately, on-going analysis of the mzia-1 discovery in the upper cretaceous slope play of block 1 indicates a larger in-place resource estimate than our immediate post-drill assessment. ophir's estimate of in place resources for mzia has risen from 2-6 tcf to 4-9 tcf with a mean of 6 tcf. the jodari and mzia discoveries in block 1 are both now likely anchor assets for tanzania's first lng development. ophir continues to invest in the remainder of its east african portfolio where seven seismic datasets are being acquired this year to de-risk the exploration potential of blocks l9, l15, 7 and east pande. new play types and an associated inventory of drilling targets have been identified",nick cooper,Q8976553,2012-09-03 07:37:00,1,['http://oilvoice.com/n/Ophir_Energy_announces_East_Africa_operations_update/06fe202d9abc.aspx'],C,0.501,['US']
49880,2012-01-03-065456,"we are pleased to start the year by kicking off our tanzanian drilling programme and also to see drilling and seismic operations gearing up across our other key assets. ophir plans to drill at least 9 wells across our portfolio in 2012,",nick cooper,Q8976553,2012-01-03 02:51:00,3,"['http://money.aol.co.uk/2012/01/03/pick-of-the-early-market-news/'
 'http://stage.money.aol.co.uk/2012/01/03/pick-of-the-early-market-news/'
 'http://proactiveinvestors.co.uk/companies/news/37378/ophir-energy-kicks-off-tanzania-drill-programme-37378.html']",C,0.6317,['UK']
198692,2012-11-15-061782,"ophir has made significant progress in the past quarter. in tanzania, recent well results and new seismic coverage have identified new, game-changing prospectivity. mapping of blocks 1 and 7 is on-going, with significant new prospects mapped within recent weeks. in equatorial guinea we have increased our gas resource and are now targeting a single train of liquefied natural gas supplied by block r gas.",nick cooper,Q8976553,2012-11-15 13:32:22,1,['http://lse.co.uk/sharecast-news-article.asp?ArticleCode=20500417&ArticleHeadline=orphir_energy_silent_on_funding_update'],C,0.5537,['UK']
124369,2014-05-09-074884,"This would allow the management team to continue their focus on growing the business in Africa and in particular Tanzania. With first gas scheduled for 2015 from the Kiliwani North field and significant progress being achieved on the seismic programme in Ruvuma, the management team looks to the future with confidence.",None,,2014-05-09 15:25:42,4,"['http://www.stockmarketwire.com/article/4808107/Oil-Gas-Roundup.html'
 'http://www.stockmarketwire.com/article/4808107/Oil-Gas-Sector-Aminex-up-on-deal-to-sell-US-subsidiary.html'
 'http://www.iii.co.uk/stockmarketwire/165002/oil-gas-sector-aminex-deal-sell-us-subsidiary'
 'http://www.iii.co.uk/stockmarketwire/165002/oil-gas-roundup']",D,0.8585,['UK']
